File: airs-bp
Type: alloc_objects
Time: Aug 26, 2023 at 7:15pm (UTC)
Showing nodes accounting for 6802207, 85.28% of 7975890 total
Dropped 397 nodes (cum <= 39879)
      flat  flat%   sum%        cum   cum%
         0     0% 85.28%      77809  0.98%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).updateHourlySales
         0     0% 85.28%      53065  0.67%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdOrders
         0     0% 85.28%      51025  0.64%  github.com/untillpro/airs-bp3/packages/air/edit.execCmdPbill
         0     0% 85.28%      93362  1.17%  github.com/untillpro/airs-bp3/packages/air/ordersdates.glob..func1
         0     0% 85.28%      54562  0.68%  github.com/untillpro/airs-bp3/packages/air/pbilldates.glob..func1
         0     0% 85.28%      44510  0.56%  github.com/untillpro/airs-bp3/packages/air/resellersubscriptionsprofile.Provide (inline)
         0     0% 85.28%      90918  1.14%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3
         0     0% 85.28%      90918  1.14%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func3.1
         0     0% 85.28%     373099  4.68%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4
         0     0% 85.28%     373099  4.68%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.1
         0     0% 85.28%     245472  3.08%  github.com/untillpro/airs-bp3/packages/air/tablesoverview.glob..func4.2
         0     0% 85.28%     228789  2.87%  github.com/untillpro/airs-bp3/packages/untill.Provide (inline)
         0     0% 85.28%      43691  0.55%  github.com/untillpro/dynobuffers.(*Buffer).Get (inline)
         0     0% 85.28%     909323 11.40%  github.com/untillpro/dynobuffers.(*Buffer).ToBytes
         0     0% 85.28%     909323 11.40%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
         0     0% 85.28%     909323 11.40%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
         0     0% 85.28%      81920  1.03%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer.func1
         0     0% 85.28%      43691  0.55%  github.com/untillpro/dynobuffers.(*Buffer).getByField
         0     0% 85.28%     567820  7.12%  github.com/untillpro/dynobuffers.NewBuffer
         0     0% 85.28%     237571  2.98%  github.com/untillpro/dynobuffers.encodeFixedSizeValue
         0     0% 85.28%     567820  7.12%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0% 85.28%      91853  1.15%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
         0     0% 85.28%     496130  6.22%  github.com/voedger/voedger/pkg/apps.Parse
         0     0% 85.28%      71604   0.9%  github.com/voedger/voedger/pkg/apps/sys/registry.Provide.func1
         0     0% 85.28%      98305  1.23%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
         0     0% 85.28%      54647  0.69%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Get
         0     0% 85.28%     246185  3.09%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0% 85.28%     583337  7.31%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0% 85.28%      46324  0.58%  github.com/voedger/voedger/pkg/istoragecache.(*implCachingAppStorageProvider).AppStorage
         0     0% 85.28%      44275  0.56%  github.com/voedger/voedger/pkg/istorageimpl.(*implIAppStorageProvider).AppStorage
         0     0% 85.28%     182790  2.29%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutPlog
         0     0% 85.28%     157401  1.97%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutWlog
         0     0% 85.28%      92388  1.16%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).ReadPLog
         0     0% 85.28%     270278  3.39%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply
         0     0% 85.28%     270278  3.39%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2
         0     0% 85.28%      59822  0.75%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).GetSingleton
         0     0% 85.28%      92875  1.16%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).getRecord
         0     0% 85.28%     266638  3.34%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
         0     0% 85.28%      64164   0.8%  github.com/voedger/voedger/pkg/istructsmem.(*appStructsProviderType).AppStructs
         0     0% 85.28%     494772  6.20%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).Get
         0     0% 85.28%     296104  3.71%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
         0     0% 85.28%     116067  1.46%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).NewValueBuilder
         0     0% 85.28%     387759  4.86%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).storeViewRecord
         0     0% 85.28%     104090  1.31%  github.com/voedger/voedger/pkg/istructsmem.(*commandFunction).Exec
         0     0% 85.28%      60986  0.76%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).build
         0     0% 85.28%     379707  4.76%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).enumRecs
         0     0% 85.28%     297217  3.73%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Build
         0     0% 85.28%      77669  0.97%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Elements
         0     0% 85.28%      98305  1.23%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).EnumElements (inline)
         0     0% 85.28%     207353  2.60%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build
