File: airs-bp
Type: alloc_objects
Time: Aug 24, 2023 at 5:44pm (UTC)
Showing nodes accounting for 5555279, 87.55% of 6345515 total
Dropped 358 nodes (cum <= 31727)
      flat  flat%   sum%        cum   cum%
         0     0% 87.55%     348054  5.49%  github.com/gocql/gocql.(*queryExecutor).attemptQuery
         0     0% 87.55%     348054  5.49%  github.com/gocql/gocql.(*queryExecutor).do
         0     0% 87.55%     408129  6.43%  github.com/gocql/gocql.(*queryExecutor).executeQuery
         0     0% 87.55%      43690  0.69%  github.com/gocql/gocql.(*writeCoalescer).writeFlusher
         0     0% 87.55%      43946  0.69%  github.com/gocql/gocql.Unmarshal
         0     0% 87.55%      43946  0.69%  github.com/gocql/gocql.scanColumn
         0     0% 87.55%      43946  0.69%  github.com/gocql/gocql.unmarshalList
         0     0% 87.55%     434288  6.84%  github.com/golang-jwt/jwt.(*Parser).Parse (inline)
         0     0% 87.55%     434288  6.84%  github.com/golang-jwt/jwt.(*Parser).ParseWithClaims
         0     0% 87.55%     434288  6.84%  github.com/golang-jwt/jwt.Parse
         0     0% 87.55%      32768  0.52%  github.com/google/flatbuffers/go.(*Builder).CreateByteVector
         0     0% 87.55%      81920  1.29%  github.com/google/flatbuffers/go.(*Builder).CreateString
         0     0% 87.55%     104450  1.65%  github.com/google/flatbuffers/go.(*Builder).EndObject (inline)
         0     0% 87.55%     152577  2.40%  github.com/google/flatbuffers/go.(*Builder).Finish (inline)
         0     0% 87.55%     461827  7.28%  github.com/google/flatbuffers/go.(*Builder).Prep
         0     0% 87.55%      90112  1.42%  github.com/google/flatbuffers/go.(*Builder).PrependInt64
         0     0% 87.55%     104450  1.65%  github.com/google/flatbuffers/go.(*Builder).PrependVOffsetT
         0     0% 87.55%     104450  1.65%  github.com/google/flatbuffers/go.(*Builder).WriteVtable
         0     0% 87.55%     152577  2.40%  github.com/google/flatbuffers/go.(*Builder).finish
         0     0% 87.55%     205233  3.23%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0% 87.55%     473351  7.46%  github.com/untillpro/airs-bp3/airsbp3.buildVVM
         0     0% 87.55%     231301  3.65%  github.com/untillpro/airs-bp3/apps/untill/airsbp.ProvideAirsBP.func1
         0     0% 87.55%      32576  0.51%  github.com/untillpro/airs-bp3/packages/air.Provide
         0     0% 87.55%      58931  0.93%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*articleService).isPromoArticle
         0     0% 87.55%      58931  0.93%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do.func3
