File: airs-bp
Type: cpu
Time: Aug 24, 2023 at 5:25pm (UTC)
Duration: 10s, Total samples = 1.13s (11.30%)
Showing nodes accounting for 1.12s, 99.12% of 1.13s total
      flat  flat%   sum%        cum   cum%
         0     0% 99.12%      0.03s  2.65%  github.com/untillpro/dynobuffers.(*Buffer).ToBytes
         0     0% 99.12%      0.03s  2.65%  github.com/untillpro/dynobuffers.(*Buffer).ToBytesNilled
         0     0% 99.12%      0.03s  2.65%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.(*Buffer).getByField
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.(*Buffer).getFieldUOffsetTByOrder
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.NewBuffer
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.encodeFixedSizeValue
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/untillpro/dynobuffers.glob..func1
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*appDef).DefByName
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*appDef).View
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*appDef).defByKind
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/appdef.(*containers).Containers
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/appdef.(*fields).Field (partial-inline)
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).Since
         0     0% 99.12%      0.05s  4.42%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).validateChannel
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/in10nmem.notifier
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Get
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0% 99.12%      0.06s  5.31%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
         0     0% 99.12%      0.06s  5.31%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutPlog
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutWlog
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).ReadPLog
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).Get
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*commandFunction).Exec
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).Update
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Build
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).ElementBuilder
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Elements
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).EnumElements (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build.func1
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).forEach
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).BuildRawEvent
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).CUDs
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).PutInt32
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).PutRecordID
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).build
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).ccDef
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*recordType).copyFrom (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).AsString
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutChars
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutInt64
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutRecordID
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutString
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).fieldDef (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).fieldsDef (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).loadFromBytes
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setDef
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQName
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQNameID
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validDocument (inline)
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElement
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers.func2
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRecord
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validCUD
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEvent
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventCUDs
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventObjects
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validObject
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validRecord
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity.func1
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/istructsmem.newKey
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem.newUpdateRec
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem/internal/plogcache.(*Cache).Put (inline)
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/istructsmem/internal/qnames.(*QNames).QName (inline)
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/itokens-payloads.(*implIAppTokens).ValidateToken
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/itokensjwt.(*JWTSigner).ValidateToken
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/objcache.(*cache[...]).Put
         0     0% 99.12%      0.08s  7.08%  github.com/voedger/voedger/pkg/pipeline.(*WiredOperator).doAsync
         0     0% 99.12%      0.35s 30.97%  github.com/voedger/voedger/pkg/pipeline.(*WiredOperator).doSync
         0     0% 99.12%      0.34s 30.09%  github.com/voedger/voedger/pkg/pipeline.(*implISyncOperatorSimple).DoSync
         0     0% 99.12%      0.05s  4.42%  github.com/voedger/voedger/pkg/pipeline.(*serviceOperator).DoSync.func1
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/pipeline.SyncPipeline.DoSync
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/pipeline.SyncPipeline.SendSync
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/pipeline.forkOperator.DoSync.func1
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/pipeline.p_flush
         0     0% 99.12%      0.11s  9.73%  github.com/voedger/voedger/pkg/pipeline.puller_async
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).authenticate
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).putPLog
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).validate
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/processors/command.(*cmdProc).writeCUDs
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/processors/command.applyPLogEvent
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/processors/command.buildRawEvent
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/processors/command.checkArgsRefIntegrity
         0     0% 99.12%      0.02s  1.77%  github.com/voedger/voedger/pkg/processors/command.execCommand
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/processors/command.getArgsObject
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/processors/command.getUnloggedArgsObject
         0     0% 99.12%      0.03s  2.65%  github.com/voedger/voedger/pkg/processors/command.putWLog
         0     0% 99.12%      0.04s  3.54%  github.com/voedger/voedger/pkg/processors/command.unmarshalRequestBody
         0     0% 99.12%      0.05s  4.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).Run
         0     0% 99.12%      0.01s  0.88%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
