File: airs-bp
Type: cpu
Time: Aug 9, 2023 at 3:44pm (UTC)
Duration: 10.04s, Total samples = 1.24s (12.36%)
Showing nodes accounting for 1.24s, 100% of 1.24s total
      flat  flat%   sum%        cum   cum%
     0.24s 19.35% 19.35%      0.24s 19.35%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/processors/command.buildRawEvent
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/processors/command.execCommand
         0     0%   100%      0.04s  3.23%  github.com/voedger/voedger/pkg/processors/command.getArgsObject
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/processors/command.getWSDesc
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/processors/command.putWLog
         0     0%   100%      0.07s  5.65%  github.com/voedger/voedger/pkg/processors/command.unmarshalRequestBody
         0     0%   100%      0.05s  4.03%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).Run
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
         0     0%   100%      0.05s  4.03%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading.func1
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).readPlogToTheEnd2
         0     0%   100%      0.05s  4.03%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).DoAsync
         0     0%   100%      0.03s  2.42%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func1
         0     0%   100%      0.06s  4.84%  github.com/voedger/voedger/pkg/projectors.syncActualizerFactory.func3
         0     0%   100%      0.10s  8.06%  github.com/voedger/voedger/pkg/router.corsHandler.func1
         0     0%   100%      0.10s  8.06%  github.com/voedger/voedger/pkg/router.requestHandler.func1
         0     0%   100%      0.08s  6.45%  github.com/voedger/voedger/pkg/router.writeResponse
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*bundledHostState).CanExist
         0     0%   100%      0.06s  4.84%  github.com/voedger/voedger/pkg/state.(*hostState).ApplyIntents
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*hostState).CanExist
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
         0     0%   100%      0.02s  1.61%  github.com/voedger/voedger/pkg/state.(*hostState).NewValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*hostState).UpdateValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*recordsStorage).ProvideValueBuilderForUpdate
         0     0%   100%      0.06s  4.84%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).Get
