File: airs-bp
Type: cpu
Time: Aug 26, 2023 at 7:23pm (UTC)
Duration: 10.15s, Total samples = 1.17s (11.53%)
Showing nodes accounting for 1.17s, 100% of 1.17s total
      flat  flat%   sum%        cum   cum%
     0.22s 18.80% 18.80%      0.22s 18.80%  runtime/internal/syscall.Syscall6
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading.func1
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func1
         0     0%   100%      0.06s  5.13%  github.com/voedger/voedger/pkg/router.corsHandler.func1
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/router.createRequest
         0     0%   100%      0.06s  5.13%  github.com/voedger/voedger/pkg/router.requestHandler.func1
         0     0%   100%      0.04s  3.42%  github.com/voedger/voedger/pkg/router.writeResponse
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*bundledHostState).ApplyIntents
         0     0%   100%      0.04s  3.42%  github.com/voedger/voedger/pkg/state.(*bundledHostState).CanExist
         0     0%   100%      0.05s  4.27%  github.com/voedger/voedger/pkg/state.(*hostState).ApplyIntents
         0     0%   100%      0.03s  2.56%  github.com/voedger/voedger/pkg/state.(*hostState).CanExist
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/state.(*hostState).NewValue
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*hostState).UpdateValue
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*hostState).isIntentsEmpty (inline)
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*hostState).isIntentsSize (inline)
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*recordsStorage).ProvideValueBuilderForUpdate
         0     0%   100%      0.04s  3.42%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).Get
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ProvideValueBuilder
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).Build (inline)
         0     0%   100%      0.02s  1.71%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).BuildValue
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/sys/builtin.provideRefIntegrityValidator.func2
         0     0%   100%      0.01s  0.85%  github.com/voedger/voedger/pkg/sys/uniques.provideEventUniqueValidator.func1
         0     0%   100%      0.08s  6.84%  internal/poll.(*FD).Read
         0     0%   100%      0.04s  3.42%  internal/poll.(*FD).Write
         0     0%   100%      0.04s  3.42%  internal/poll.(*FD).Writev
         0     0%   100%      0.01s  0.85%  internal/poll.(*FD).readUnlock
         0     0%   100%      0.11s  9.40%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%      0.04s  3.42%  internal/poll.writev
         0     0%   100%      0.05s  4.27%  io.ReadAtLeast
         0     0%   100%      0.05s  4.27%  io.ReadFull (inline)
         0     0%   100%      0.04s  3.42%  net.(*Buffers).WriteTo
         0     0%   100%      0.08s  6.84%  net.(*conn).Read
         0     0%   100%      0.04s  3.42%  net.(*conn).Write
         0     0%   100%      0.04s  3.42%  net.(*conn).writeBuffers
         0     0%   100%      0.08s  6.84%  net.(*netFD).Read
         0     0%   100%      0.04s  3.42%  net.(*netFD).Write
         0     0%   100%      0.04s  3.42%  net.(*netFD).writeBuffers
         0     0%   100%      0.04s  3.42%  net/http.(*chunkWriter).flush
